"Series";"Time";"Value"
"wordpress";"2018-12-16T21:28:00+08:00";351,227,904
"wordpress";"2018-12-16T21:36:00+08:00";2,305,544,192
"wordpress";"2018-12-16T21:44:00+08:00";358,023,168
"wordpress";"2018-12-16T21:52:00+08:00";358,023,168
"wordpress";"2018-12-16T22:00:00+08:00";2,355,945,472
"wordpress";"2018-12-16T22:08:00+08:00";358,531,072
"wordpress";"2018-12-16T22:16:00+08:00";358,531,072
"wordpress";"2018-12-16T22:24:00+08:00";2,393,870,336
"wordpress";"2018-12-16T22:32:00+08:00";360,206,336
"wordpress";"2018-12-16T22:40:00+08:00";360,206,336
"wordpress";"2018-12-16T22:48:00+08:00";2,381,422,592
"wordpress";"2018-12-16T22:56:00+08:00";392,941,568
"wordpress";"2018-12-16T23:04:00+08:00";392,941,568
"wordpress";"2018-12-16T23:12:00+08:00";1,927,618,560
"wordpress";"2018-12-16T23:20:00+08:00";389,607,424
"wordpress";"2018-12-16T23:28:00+08:00";389,607,424
"wordpress";"2018-12-16T23:36:00+08:00";1,038,155,776
"wordpress";"2018-12-16T23:44:00+08:00";389,459,968
"wordpress";"2018-12-16T23:52:00+08:00";389,451,776
"wordpress";"2018-12-17T00:00:00+08:00";389,451,776
"wordpress";"2018-12-17T00:08:00+08:00";693,784,576
"wordpress";"2018-12-17T00:16:00+08:00";381,009,920
"wordpress";"2018-12-17T00:24:00+08:00";381,009,920
"wordpress";"2018-12-17T00:32:00+08:00";1,385,422,848
"wordpress";"2018-12-17T00:40:00+08:00";383,193,088
"wordpress";"2018-12-17T00:48:00+08:00";383,193,088
"wordpress";"2018-12-17T00:56:00+08:00";2,408,984,576
"wordpress";"2018-12-17T01:04:00+08:00";386,269,184
"wordpress";"2018-12-17T01:12:00+08:00";386,269,184
"wordpress";"2018-12-17T01:20:00+08:00";2,377,732,096
"wordpress";"2018-12-17T01:28:00+08:00";388,505,600
"wordpress";"2018-12-17T01:36:00+08:00";388,505,600
"wordpress";"2018-12-17T01:44:00+08:00";2,382,856,192
"wordpress";"2018-12-17T01:52:00+08:00";393,461,760
"wordpress";"2018-12-17T02:00:00+08:00";393,461,760
"wordpress";"2018-12-17T02:08:00+08:00";2,289,070,080
"wordpress";"2018-12-17T02:16:00+08:00";381,063,168
"wordpress";"2018-12-17T02:24:00+08:00";381,063,168
"wordpress";"2018-12-17T02:32:00+08:00";1,991,274,496
"wordpress";"2018-12-17T02:40:00+08:00";384,331,776
"wordpress";"2018-12-17T02:48:00+08:00";384,331,776
"wordpress";"2018-12-17T02:56:00+08:00";648,183,808
"wordpress";"2018-12-17T03:04:00+08:00";388,009,984
"wordpress";"2018-12-17T03:12:00+08:00";387,903,488
"wordpress";"2018-12-17T03:20:00+08:00";387,903,488
"wordpress";"2018-12-17T03:28:00+08:00";556,023,808
"wordpress";"2018-12-17T03:36:00+08:00";383,139,840
"wordpress";"2018-12-17T03:44:00+08:00";383,139,840
"wordpress";"2018-12-17T03:52:00+08:00";1,404,063,744
"wordpress";"2018-12-17T04:00:00+08:00";386,932,736
"wordpress";"2018-12-17T04:08:00+08:00";386,932,736
"wordpress";"2018-12-17T04:16:00+08:00";2,433,830,912
"wordpress";"2018-12-17T04:24:00+08:00";370,655,232
"wordpress";"2018-12-17T04:32:00+08:00";370,655,232
"wordpress";"2018-12-17T04:40:00+08:00";2,359,263,232
"wordpress";"2018-12-17T04:48:00+08:00";366,768,128
"wordpress";"2018-12-17T04:56:00+08:00";366,768,128
"wordpress";"2018-12-17T05:04:00+08:00";2,389,446,656
"wordpress";"2018-12-17T05:12:00+08:00";369,344,512
"wordpress";"2018-12-17T05:20:00+08:00";369,344,512
"wordpress";"2018-12-17T05:28:00+08:00";2,224,156,672
"wordpress";"2018-12-17T05:36:00+08:00";362,766,336
"wordpress";"2018-12-17T05:44:00+08:00";362,766,336
"wordpress";"2018-12-17T05:52:00+08:00";1,967,595,520
"wordpress";"2018-12-17T06:00:00+08:00";366,444,544
"wordpress";"2018-12-17T06:08:00+08:00";366,444,544
"wordpress";"2018-12-17T06:16:00+08:00";936,976,384
"wordpress";"2018-12-17T06:24:00+08:00";351,744,000
"wordpress";"2018-12-17T06:32:00+08:00";351,170,560
"wordpress";"2018-12-17T06:40:00+08:00";351,170,560
"wordpress";"2018-12-17T06:48:00+08:00";587,513,856
